,ME1_FO_FLOW_HOUR_INLET,ME1_RPM,ME1_SCAV_AIR_PRESS,ME1_CYL1_PCO_OUTLET_TEMP,ME1_CYL2_PCO_OUTLET_TEMP,ME1_CYL3_PCO_OUTLET_TEMP,ME1_CYL4_PCO_OUTLET_TEMP,ME1_CYL5_PCO_OUTLET_TEMP,ME1_JCW_INLET_TEMP,ME1_JCW_INLET_PRESS,ME1_CYL1_CFW_OUTLET_TEMP,ME1_CYL2_CFW_OUTLET_TEMP,ME1_CYL3_CFW_OUTLET_TEMP,ME1_CYL4_CFW_OUTLET_TEMP,ME1_CYL5_CFW_OUTLET_TEMP,ME1_CYL1_EXH_GAS_OUTLET_TEMP,ME1_CYL2_EXH_GAS_OUTLET_TEMP,ME1_CYL3_EXH_GAS_OUTLET_TEMP,ME1_CYL4_EXH_GAS_OUTLET_TEMP,ME1_CYL5_EXH_GAS_OUTLET_TEMP,ME1_TC1_EXH_INLET_TEMP,ME1_TC1_EXH_OUTLET_TEMP,ME1_TC1_LO_INLET_PRESS,ME1_TC1_LO_OUTLET_TEMP,ME1_LO_INLET_PRESS,ME1_LO_INLET_TEMP
4818,1173.515,75.79433333,1.47,54.99833333,55.49833333,56.20666667,55.205,56.18833333,70.255,3.683166667,78.69,79.23166667,78.46,79.03666667,78.03833333,368.26,374.3033333,370.175,349.17,364.6283333,387.29,282.0716667,2.0188,65.15333333,2.3193333330000003,50.675
4819,1174.196667,75.78016667,1.47,54.96666667,55.45333333,56.2,55.2,56.17666667,70.24666667,3.686433333,78.68333333,79.21666667,78.40333333,79.02,78.01666667,368.34,373.29,369.27666669999996,349.6416667,364.7433333,388.045,281.6833333,2.020433333,65.14666667,2.3226,50.60166667
4820,1173.5835,75.74266667,1.47,54.955,55.37833333,56.2,55.2,56.16166667,70.21833333,3.692966667,78.68,79.2,78.40833333,79.00666667,78.02666667,370.03,372.8133333,366.7183333,348.34,365.23,387.8333333,281.7383333,2.0188,65.06833333,2.3275,50.545
4821,1178.019,75.872,1.4798,54.85333333,55.32166667,56.195,55.19333333,56.06,70.21166667,3.675,78.61166667,79.17666667,78.42833333,79.005,78.00833333,369.06,371.8783333,366.64666669999997,348.3183333,364.65833330000004,387.6066667,281.64,2.0171666669999997,65.04666667,2.3193333330000003,50.51833333
4822,1171.964237,75.79576271,1.47,54.82542373,55.29830508,56.19322034,55.16440678,56.03050847,70.20338983,3.682474576,78.62033898,79.09491525,78.44067797,79.00508475,78.01525424,369.02881360000003,371.62372880000004,366.7322034,348.4423729,363.5813559,387.4237288,281.5305085,2.026440678,65.04576271,2.325423729,50.50338983
4823,1174.864833,75.84666667,1.4732666669999999,54.80166667,55.21333333,56.115,55.06333333,56.0,70.21,3.6701,78.57833333,78.98,78.37,79.0,77.99833333,370.5283333,371.0833333,366.0166667,348.6616667,363.975,387.76,281.64,2.022066667,64.99833333,2.3226,50.5
4824,1177.11,75.734,1.4765333330000001,54.8,55.19166667,56.07166667,55.05,56.0,70.225,3.675,78.53666667,78.835,78.41833333,79.005,78.0,369.2016667,368.78,365.40833330000004,348.8766667,364.1866667,387.78,281.3266667,2.015533333,64.98833333,2.324233333,50.495
4825,1177.242667,75.80766667,1.47,54.815,55.20833333,56.115,55.07333333,56.01166667,70.225,3.673366667,78.565,78.83333333,78.43333333,79.00833333,78.015,367.59,370.095,365.2566667,348.8116667,364.71166669999997,388.09833330000004,281.585,2.012266667,64.99666667,2.330766667,50.49666667
4826,1179.150333,75.80633333,1.478166667,55.06,55.21,56.09666667,55.11333333,56.00666667,70.29666667,3.675,78.83833333,78.935,78.49,79.10666667,78.125,373.4483333,372.33666669999997,366.1233333,349.0716667,365.3383333,387.6116667,281.2183333,2.0253333330000003,65.015,2.3177,50.5
4827,1175.6955,75.86583333,1.4749,55.18666667,55.21666667,56.165,55.19,56.01666667,70.21166667,3.6766333330000003,78.94166667,78.88833333,78.48166667,79.05,78.06,374.25,370.7483333,366.65,348.2016667,365.395,387.4166667,281.1766667,2.022066667,65.055,2.335666667,50.505
